id,link,segment_id,start,end,sentiment,happy,sad,anger,surprise,disgust,fear
-IqSFQePnpU,https://youtube.com/watch?v=-IqSFQePnpU,0,0.0124716553288,17.2931972789,0.0,0.0,0.33333334,0.0,0.6666667,0.0,1.0
08d4NTXkSxw,https://youtube.com/watch?v=08d4NTXkSxw,0,-0.038548752834,6.69841269841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08d4NTXkSxw,https://youtube.com/watch?v=08d4NTXkSxw,1,6.62630385488,11.5174603175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08d4NTXkSxw,https://youtube.com/watch?v=08d4NTXkSxw,2,11.335600907,22.0235827664,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
08d4NTXkSxw,https://youtube.com/watch?v=08d4NTXkSxw,3,46.1664399093,55.0684807256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,0,0.351,6.08,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,1,5.459,16.676,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,2,16.105,32.25,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,3,31.819,44.912,1.3333334,0.33333334,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,4,44.45,54.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,5,54.537,72.569,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,6,72.137,88.692,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0
0JuRmhhgMw8,https://youtube.com/watch?v=0JuRmhhgMw8,7,88.181,100.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,0,-0.457596371882,3.13650793651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,1,45.9369614512,52.1850340136,-0.6666667,0.0,0.33333334,0.33333334,0.33333334,0.33333334,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,2,51.3746031746,57.6526077098,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,3,57.8798185941,62.0526077098,-0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,4,61.0526077098,76.1605442177,0.33333334,1.0,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,5,76.2181405896,81.5283446712,2.0,1.0,0.0,0.0,0.33333334,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,6,81.506122449,92.5433106576,0.0,0.33333334,0.0,0.0,0.6666667,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,7,91.5433106576,94.6684807256,0.33333334,0.33333334,0.0,0.0,0.33333334,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,8,93.9179138322,96.5541950113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,9,96.0430839002,97.6616780045,0.33333334,0.33333334,0.0,0.0,0.33333334,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,10,96.7814058957,107.609070295,0.6666667,1.6666666,0.0,0.0,0.33333334,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,11,3.57324263039,8.7537414966,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,12,106.988208617,110.013605442,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,13,109.013605442,128.092517007,0.6666667,0.33333334,0.0,0.33333334,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,14,127.331972789,130.307482993,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,15,129.936054422,137.271655329,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
0YdYFtVdlWE,https://youtube.com/watch?v=0YdYFtVdlWE,16,9.03083900227,21.9936507937,1.0,1.6666666,0.0,0.0,0.0,0.0,0.0
